                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
108,0.74531,0.58313,1.2594,0.83345,0.70822,0.78021,0.49116,1.4896,1.0349,2.0609,0.0047035,0.0047035,0.0047035
109,0.75098,0.58412,1.268,0.84233,0.69496,0.77441,0.4919,1.478,1.0246,2.051,0.004654,0.004654,0.004654
110,0.73439,0.57667,1.2601,0.83819,0.70027,0.77851,0.49091,1.4812,0.99974,2.0499,0.0046045,0.0046045,0.0046045
111,0.71902,0.5596,1.2473,0.81652,0.71088,0.77918,0.49217,1.4853,1.0119,2.0475,0.004555,0.004555,0.004555
112,0.72924,0.56307,1.2522,0.79661,0.72944,0.78301,0.49183,1.4807,1.0087,2.0451,0.0045055,0.0045055,0.0045055
113,0.72207,0.55942,1.2522,0.82919,0.71618,0.78425,0.49875,1.4816,1.0006,2.0381,0.004456,0.004456,0.004456
114,0.70821,0.55419,1.2394,0.8255,0.69013,0.78273,0.49974,1.4881,1.0172,2.038,0.0044065,0.0044065,0.0044065
115,0.70614,0.54135,1.2332,0.80713,0.70822,0.78582,0.50143,1.496,0.99253,2.0593,0.004357,0.004357,0.004357
116,0.71274,0.5574,1.2358,0.79414,0.71628,0.78311,0.50214,1.4993,0.99213,2.0627,0.0043075,0.0043075,0.0043075
117,0.70104,0.53366,1.2284,0.79507,0.72149,0.78594,0.50764,1.4879,0.9953,2.0658,0.004258,0.004258,0.004258
118,0.69455,0.53807,1.2306,0.84419,0.70822,0.79182,0.51186,1.4869,0.97618,2.0688,0.0042085,0.0042085,0.0042085
119,0.68836,0.52701,1.2184,0.86204,0.69496,0.79094,0.51143,1.4871,0.98587,2.071,0.004159,0.004159,0.004159
120,0.68071,0.52642,1.2136,0.86284,0.69231,0.79736,0.50908,1.4859,1.0083,2.071,0.0041095,0.0041095,0.0041095
121,0.68584,0.52813,1.2234,0.84469,0.69231,0.7922,0.5106,1.4935,1.0218,2.0739,0.00406,0.00406,0.00406
122,0.68581,0.52318,1.2191,0.87124,0.69995,0.8001,0.50484,1.4941,1.0194,2.0732,0.0040105,0.0040105,0.0040105
123,0.67377,0.51757,1.2002,0.85206,0.70273,0.8009,0.50567,1.4936,1.0082,2.0761,0.003961,0.003961,0.003961
124,0.65979,0.50573,1.1936,0.88589,0.687,0.80333,0.50658,1.4946,1.0045,2.071,0.0039115,0.0039115,0.0039115
125,0.66802,0.49903,1.1971,0.87244,0.6894,0.7955,0.50971,1.4925,1.0142,2.0685,0.003862,0.003862,0.003862
126,0.64639,0.49548,1.1895,0.83302,0.71088,0.79305,0.51162,1.4886,1.0102,2.0748,0.0038125,0.0038125,0.0038125
127,0.665,0.50449,1.1978,0.85477,0.69231,0.79275,0.50956,1.4953,1.0108,2.0815,0.003763,0.003763,0.003763
128,0.65607,0.50195,1.1922,0.81208,0.72679,0.78888,0.51011,1.5063,1.0093,2.0909,0.0037135,0.0037135,0.0037135
129,0.66048,0.50456,1.1955,0.81715,0.71353,0.78556,0.50934,1.4999,1.0187,2.0837,0.003664,0.003664,0.003664
130,0.64004,0.49362,1.1818,0.81879,0.72414,0.78371,0.50628,1.4975,1.0293,2.0897,0.0036145,0.0036145,0.0036145
131,0.64025,0.4812,1.176,0.81222,0.71136,0.78456,0.50569,1.5008,1.0459,2.0981,0.003565,0.003565,0.003565
132,0.63632,0.47807,1.1774,0.82978,0.70557,0.78173,0.50752,1.502,1.0562,2.1051,0.0035155,0.0035155,0.0035155
133,0.6193,0.47271,1.168,0.82863,0.7054,0.7844,0.50955,1.5,1.0615,2.1024,0.003466,0.003466,0.003466
134,0.62099,0.4686,1.1708,0.82023,0.71088,0.7859,0.50619,1.509,1.0483,2.1219,0.0034165,0.0034165,0.0034165
135,0.61419,0.4654,1.1625,0.79748,0.73115,0.78843,0.5102,1.5125,1.0388,2.1352,0.003367,0.003367,0.003367
136,0.62259,0.46975,1.1642,0.80918,0.71989,0.79093,0.51204,1.5097,1.0429,2.1341,0.0033175,0.0033175,0.0033175
137,0.61198,0.46027,1.1593,0.80794,0.72528,0.79032,0.51112,1.5058,1.0628,2.1261,0.003268,0.003268,0.003268
138,0.60171,0.45277,1.1487,0.80636,0.72903,0.78894,0.5073,1.5057,1.0841,2.1254,0.0032185,0.0032185,0.0032185
139,0.61413,0.45854,1.1529,0.81113,0.7321,0.78924,0.5066,1.5088,1.0866,2.1223,0.003169,0.003169,0.003169
